iShares Russell 2000 ETF
Fund Holdings as of,"Jun 24, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"275,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"BE","BLOOM ENERGY CLASS A CORP","Industrials","Equity","1,687,019,777.67","2.05","1,687,019,777.67","5,171,893.00","326.19","United States","NYSE","USD","1.00","USD","-"
"CRDO","CREDO TECHNOLOGY GROUP HOLDING LTD","Information Technology","Equity","1,027,283,838.59","1.25","1,027,283,838.59","3,819,041.00","268.99","United States","NASDAQ","USD","1.00","USD","-"
"STRL","STERLING INFRASTRUCTURE INC","Industrials","Equity","611,939,168.75","0.74","611,939,168.75","705,625.00","867.23","United States","NASDAQ","USD","1.00","USD","-"
"TTMI","TTM TECHNOLOGIES INC","Information Technology","Equity","508,070,400.68","0.62","508,070,400.68","2,422,382.00","209.74","United States","NASDAQ","USD","1.00","USD","-"
"FN","FABRINET","Information Technology","Equity","485,700,692.67","0.59","485,700,692.67","854,851.00","568.17","United States","NYSE","USD","1.00","USD","-"
"IONQ","IONQ INC","Information Technology","Equity","437,668,870.40","0.53","437,668,870.40","8,165,464.00","53.60","United States","NYSE","USD","1.00","USD","-"
"NXT","NEXTPOWER INC CLASS A","Industrials","Equity","402,733,873.02","0.49","402,733,873.02","3,451,906.00","116.67","United States","NASDAQ","USD","1.00","USD","-"
"GH","GUARDANT HEALTH INC","Health Care","Equity","402,228,784.64","0.49","402,228,784.64","2,936,834.00","136.96","United States","NASDAQ","USD","1.00","USD","-"
"CDE","COEUR MINING INC","Materials","Equity","373,844,198.91","0.45","373,844,198.91","24,165,753.00","15.47","United States","NYSE","USD","1.00","USD","-"
"SITM","SITIME CORP","Information Technology","Equity","368,799,827.42","0.45","368,799,827.42","532,586.00","692.47","United States","NASDAQ","USD","1.00","USD","-"
"SMTC","SEMTECH CORP","Information Technology","Equity","349,226,844.96","0.42","349,226,844.96","2,203,602.00","158.48","United States","NASDAQ","USD","1.00","USD","-"
"MOD","MODINE MANUFACTURING","Industrials","Equity","343,051,553.20","0.42","343,051,553.20","1,239,796.00","276.70","United States","NYSE","USD","1.00","USD","-"
"DY","DYCOM INDUSTRIES INC","Industrials","Equity","333,648,581.04","0.40","333,648,581.04","690,098.00","483.48","United States","NYSE","USD","1.00","USD","-"
"AEIS","ADVANCED ENERGY INDUSTRIES INC","Information Technology","Equity","321,002,630.01","0.39","321,002,630.01","892,641.00","359.61","United States","NASDAQ","USD","1.00","USD","-"
"ECHO","ECHOSTAR CORP CLASS A","Communication","Equity","320,293,859.94","0.39","320,293,859.94","3,207,429.00","99.86","United States","NASDAQ","USD","1.00","USD","-"
"RMBS","RAMBUS INC","Information Technology","Equity","318,386,682.24","0.39","318,386,682.24","2,556,912.00","124.52","United States","NASDAQ","USD","1.00","USD","-"
"SANM","SANMINA CORP","Information Technology","Equity","314,148,501.24","0.38","314,148,501.24","1,262,604.00","248.81","United States","NASDAQ","USD","1.00","USD","-"
"SPXC","SPX TECHNOLOGIES INC","Industrials","Equity","270,558,424.36","0.33","270,558,424.36","1,140,538.00","237.22","United States","NYSE","USD","1.00","USD","-"
"VIAV","VIAVI SOLUTIONS INC","Information Technology","Equity","269,719,209.18","0.33","269,719,209.18","5,458,798.00","49.41","United States","NASDAQ","USD","1.00","USD","-"
"MOGA","MOOG INC CLASS A","Industrials","Equity","269,593,757.20","0.33","269,593,757.20","665,828.00","404.90","United States","NYSE","USD","1.00","USD","-"
"HUT","HUT CORP","Information Technology","Equity","269,483,193.00","0.33","269,483,193.00","2,321,130.00","116.10","United States","NASDAQ","USD","1.00","USD","-"
"DOCN","DIGITALOCEAN HOLDINGS INC","Information Technology","Equity","267,618,762.45","0.32","267,618,762.45","1,801,055.00","148.59","United States","NYSE","USD","1.00","USD","-"
"FORM","FORMFACTOR INC","Information Technology","Equity","260,836,745.04","0.32","260,836,745.04","1,844,412.00","141.42","United States","NASDAQ","USD","1.00","USD","-"
"BBIO","BRIDGEBIO PHARMA INC","Health Care","Equity","260,405,461.44","0.32","260,405,461.44","3,754,404.00","69.36","United States","NASDAQ","USD","1.00","USD","-"
"ARWR","ARROWHEAD PHARMACEUTICALS INC","Health Care","Equity","255,401,896.44","0.31","255,401,896.44","3,200,124.00","79.81","United States","NASDAQ","USD","1.00","USD","-"
"CYTK","CYTOKINETICS INC","Health Care","Equity","248,377,158.40","0.30","248,377,158.40","3,058,832.00","81.20","United States","NASDAQ","USD","1.00","USD","-"
"UMBF","UMB FINANCIAL CORP","Financials","Equity","243,372,114.23","0.30","243,372,114.23","1,720,309.00","141.47","United States","NASDAQ","USD","1.00","USD","-"
"APLD","APPLIED DIGITAL CORP","Information Technology","Equity","236,331,909.38","0.29","236,331,909.38","5,629,631.00","41.98","United States","NASDAQ","USD","1.00","USD","-"
"SNEX","STONEX GROUP INC","Financials","Equity","236,125,516.67","0.29","236,125,516.67","1,734,559.00","136.13","United States","NASDAQ","USD","1.00","USD","-"
"AXSM","AXSOME THERAPEUTICS INC","Health Care","Equity","232,966,029.76","0.28","232,966,029.76","979,178.00","237.92","United States","NASDAQ","USD","1.00","USD","-"
"AGX","ARGAN INC","Industrials","Equity","232,712,462.16","0.28","232,712,462.16","317,809.00","732.24","United States","NYSE","USD","1.00","USD","-"
"WTS","WATTS WATER TECHNOLOGIES INC CLASS","Industrials","Equity","230,279,913.63","0.28","230,279,913.63","648,621.00","355.03","United States","NYSE","USD","1.00","USD","-"
"AAOI","APPLIED OPTOELECTRONICS INC","Information Technology","Equity","229,882,978.53","0.28","229,882,978.53","1,564,149.00","146.97","United States","NASDAQ","USD","1.00","USD","-"
"RIOT","RIOT PLATFORMS INC","Information Technology","Equity","226,478,972.34","0.27","226,478,972.34","8,259,627.00","27.42","United States","NASDAQ","USD","1.00","USD","-"
"BTSG","BRIGHTSPRING HEALTH SERVICES INC","Health Care","Equity","225,713,145.38","0.27","225,713,145.38","3,338,458.00","67.61","United States","NASDAQ","USD","1.00","USD","-"
"GTLS","CHART INDUSTRIES INC","Industrials","Equity","223,298,982.40","0.27","223,298,982.40","1,069,952.00","208.70","United States","NYSE","USD","1.00","USD","-"
"WULF","TERAWULF INC","Information Technology","Equity","220,238,476.38","0.27","220,238,476.38","8,166,054.00","26.97","United States","NASDAQ","USD","1.00","USD","-"
"HL","HECLA MINING","Materials","Equity","218,503,406.88","0.27","218,503,406.88","15,048,444.00","14.52","United States","NYSE","USD","1.00","USD","-"
"ENSG","ENSIGN GROUP INC","Health Care","Equity","218,145,667.23","0.26","218,145,667.23","1,329,589.00","164.07","United States","NASDAQ","USD","1.00","USD","-"
