ticker,name,sector,asset_class,weight,isin
AAPL,APPLE INC,Information Technology,Equity,7.7759,US0378331005
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,0.26102,US0090661010
ADBE,ADOBE INC,Information Technology,Equity,0.38968,US00724F1012
ADI,ANALOG DEVICES INC,Information Technology,Equity,0.84149,US0326541051
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,0.44115,US0530151036
ADSK,AUTODESK INC,Information Technology,Equity,0.19744,US0527691069
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,0.33356,US0255371017
ALAB,ASTERA LABS INC,Information Technology,Equity,0.25465,US04626A1034
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,Equity,0.16367,US02043Q1076
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,2.03041,US0382221051
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,3.99868,US0079031078
AMGN,AMGEN INC,Health Care,Equity,0.91107,US0311621009
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,4.13705,US0231351067
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,0.55411,US03831W1080
ARM,ARM HOLDINGS AMERICAN DEPOSITARY S,Information Technology,Equity,0.54531,US0420682058
ASML,ASML HOLDING ADR REPRESENTING NV,Information Technology,Equity,0.75078,USN070592100
AVGO,BROADCOM INC,Information Technology,Equity,3.06277,US11135F1012
AXON,AXON ENTERPRISE INC,Industrials,Equity,0.18017,US05464C1018
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,0.60852,US09857L1089
BKR,BAKER HUGHES CLASS A,Energy,Equity,0.25447,US05722G1004
CAD,CAD CASH,Cash and/or Derivatives,Cash,0.0,-
CCEP,COCA COLA EUROPACIFIC PARTNERS PLC,Consumer Staples,Equity,0.20858,GB00BDCPN049
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,0.41414,US1273871087
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,0.45233,US21037T1097
CMCSA,COMCAST CORP CLASS A,Communication,Equity,0.35485,US20030N1019
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,1.86683,US22160K1051
CPRT,COPART INC,Industrials,Equity,0.11604,US2172041061
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,0.84873,US22788C1053
CRWV,COREWEAVE INC CLASS A,Information Technology,Equity,0.1627,US21873S1087
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,2.01946,US17275R1023
CSX,CSX CORP,Industrials,Equity,0.44472,US1264081035
CTAS,CINTAS CORP,Industrials,Equity,0.3695,US1729081059
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,0.31731,US25809K1051
DDOG,DATADOG INC CLASS A,Information Technology,Equity,0.36737,US23804L1035
DXCM,DEXCOM INC,Health Care,Equity,0.1236,US2521311074
EA,ELECTRONIC ARTS INC,Communication,Equity,0.23915,US2855121099
EUR,EUR CASH,Cash and/or Derivatives,Cash,0.00021,-
EXC,EXELON CORP,Utilities,Equity,0.22114,US30161N1019
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,0.26267,US25278X1090
FAST,FASTENAL,Industrials,Equity,0.2422,US3119001044
FER,FERROVIAL NV,Industrials,Equity,0.20742,NL0015001FS8
FTNT,FORTINET INC,Information Technology,Equity,0.50448,US34959E1091
GBP,GBP CASH,Cash and/or Derivatives,Cash,0.00223,-
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,Equity,0.12583,US36266G1076
GILD,GILEAD SCIENCES INC,Health Care,Equity,0.73825,US3755581036
GOOG,ALPHABET INC CLASS C,Communication,Equity,2.85874,US02079K1079
GOOGL,ALPHABET INC CLASS A,Communication,Equity,3.04535,US02079K3059
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,0.3577,US4385162056
HONA,HONEYWELL AEROSPACE INC,Industrials,Equity,0.2845,US43849R1059
IDXX,IDEXX LABORATORIES INC,Health Care,Equity,0.19539,US45168D1046
INTC,INTEL CORPORATION,Information Technology,Equity,2.289,US4581401001
INTU,INTUIT INC,Information Technology,Equity,0.34992,US4612021034
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,0.53432,US46120E6023
KDP,KEURIG DR PEPPER INC,Consumer Staples,Equity,0.18216,US49271V1008
KHC,KRAFT HEINZ,Consumer Staples,Equity,0.13625,US5007541064
KLAC,KLA CORP,Information Technology,Equity,1.29827,US4824801009
LIN,LINDE PLC,Materials,Equity,1.0637,IE000S9YS762
LITE,LUMENTUM HOLDINGS INC,Information Technology,Equity,0.29396,US55024U1097
LRCX,LAM RESEARCH CORP,Information Technology,Equity,1.81715,US5128073062
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,0.4367,US5719032022
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,0.19938,US5950171042
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,0.34834,US6092071058
MELI,MERCADOLIBRE INC,Consumer Discretionary,Equity,0.41361,US58733R1023
META,META PLATFORMS INC CLASS A,Communication,Equity,2.95423,US30303M1027
MLIFT,CASH COLLATERAL USD MLIFT,Cash and/or Derivatives,Cash Collateral and Margins,0.00822,-
MNST,MONSTER BEVERAGE CORP,Consumer Staples,Equity,0.41578,US61174X1090
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,0.30985,US6098391054
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity,0.83203,US5738741041
MSFT,MICROSOFT CORP,Information Technology,Equity,4.66545,US5949181045
MSTR,STRATEGY INC CLASS A,Information Technology,Equity,0.14317,US5949724083
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,5.07415,US5951121038
NBIS,NEBIUS NV CLASS A,Information Technology,Equity,0.21986,NL0009805522
NFLX,NETFLIX INC,Communication,Equity,1.31809,US64110L1061
NQU6,NASDAQ 100 E-MINI SEP 26,Cash and/or Derivatives,Futures,0.0,-
NVDA,NVIDIA CORP,Information Technology,Equity,8.31519,US67066G1040
NXPI,NXP SEMICONDUCTORS NV,Information Technology,Equity,0.32162,NL0009538784
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,Equity,0.21821,US6795801009
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,0.32425,US67103H1077
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,1.20737,US6974351057
PAYX,PAYCHEX INC,Industrials,Equity,0.17932,US7043261079
PCAR,PACCAR INC,Industrials,Equity,0.30999,US6937181088
PDD,PDD HOLDINGS ADS INC,Consumer Discretionary,Equity,0.25503,US7223041028
PEP,PEPSICO INC,Consumer Staples,Equity,0.83809,US7134481081
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,1.28713,US69608A1088
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,0.22201,US70450Y1038
QCOM,QUALCOMM INC,Information Technology,Equity,0.81949,US7475251036
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,0.30519,US75886F1075
RKLB,ROCKET LAB CORP,Industrials,Equity,0.18367,US7731211089
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity,0.16062,US7766961061
ROST,ROSS STORES INC,Consumer Discretionary,Equity,0.34016,US7782961038
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,0.53449,US8552441094
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,0.62066,CA82509L1076
SNDK,SANDISK CORP,Information Technology,Equity,1.08366,US80004C2008
SNPS,SYNOPSYS INC,Information Technology,Equity,0.32494,US8716071076
SPCX,SPACE EXPLORATION TECHNOLOGIES COR,Communication,Equity,1.02976,US84615Q1031
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Information Technology,Equity,0.9306,IE00BKVD2N49
TER,TERADYNE INC,Information Technology,Equity,0.2653,US8807701029
TMUS,T MOBILE US INC,Communication,Equity,0.83803,US8725901040
TRI,THOMSON REUTERS CORP,Industrials,Equity,0.15129,CA8849038812
TSLA,TESLA INC,Consumer Discretionary,Equity,2.62852,US88160R1014
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,Equity,0.19309,US8740541094
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,1.17853,US8825081040
USD,USD CASH,Cash and/or Derivatives,Cash,0.12269,-
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,0.5456,US92532F1003
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity,0.29562,US9344231041
WDAY,WORKDAY INC CLASS A,Information Technology,Equity,0.11882,US98138H1014
WDC,WESTERN DIGITAL CORP,Information Technology,Equity,0.87443,US9581021055
WMT,WALMART INC,Consumer Staples,Equity,2.40278,US9311421039
XEL,XCEL ENERGY INC,Utilities,Equity,0.22691,US98389B1008
