ticker,name,sector,asset_class,weight,isin
HONA,HONEYWELL AEROSPACE INC,Industrials,Equity,0.33735,US43849R1059
IDXX,IDEXX LABORATORIES INC,Health Care,Equity,0.20146,US45168D1046
INTC,INTEL CORPORATION,Information Technology,Equity,2.45868,US4581401001
INTU,INTUIT INC,Information Technology,Equity,0.34082,US4612021034
ISRG,INTUITIVE SURGICAL INC,Health Care,Equity,0.67062,US46120E6023
KDP,KEURIG DR PEPPER INC,Consumer Staples,Equity,0.18857,US49271V1008
KHC,KRAFT HEINZ,Consumer Staples,Equity,0.13258,US5007541064
KLAC,KLA CORP,Information Technology,Equity,1.25308,US4824801009
LIN,LINDE PLC,Materials,Equity,1.10275,IE000S9YS762
LITE,LUMENTUM HOLDINGS INC,Information Technology,Equity,0.2404,US55024U1097
LRCX,LAM RESEARCH CORP,Information Technology,Equity,1.80737,US5128073062
MAR,MARRIOTT INTERNATIONAL INC CLASS A,Consumer Discretionary,Equity,0.44491,US5719032022
MCHP,MICROCHIP TECHNOLOGY INC,Information Technology,Equity,0.20115,US5950171042
MDLZ,MONDELEZ INTERNATIONAL INC CLASS A,Consumer Staples,Equity,0.3407,US6092071058
MELI,MERCADOLIBRE INC,Consumer Discretionary,Equity,0.40687,US58733R1023
META,META PLATFORMS INC CLASS A,Communication,Equity,2.92616,US30303M1027
MLIFT,CASH COLLATERAL USD MLIFT,Cash and/or Derivatives,Cash Collateral and Margins,0.00609,-
MNST,MONSTER BEVERAGE CORP,Consumer Staples,Equity,0.42006,US61174X1090
MPWR,MONOLITHIC POWER SYSTEMS INC,Information Technology,Equity,0.27525,US6098391054
MRVL,MARVELL TECHNOLOGY INC,Information Technology,Equity,0.89434,US5738741041
MSFT,MICROSOFT CORP,Information Technology,Equity,4.63661,US5949181045
MSTR,STRATEGY INC CLASS A,Information Technology,Equity,0.14519,US5949724083
MU,MICRON TECHNOLOGY INC,Information Technology,Equity,4.68962,US5951121038
NBIS,NEBIUS NV CLASS A,Information Technology,Equity,0.18941,NL0009805522
NFLX,NETFLIX INC,Communication,Equity,1.42153,US64110L1061
NQU6,NASDAQ 100 E-MINI SEP 26,Cash and/or Derivatives,Futures,0.0,-
NVDA,NVIDIA CORP,Information Technology,Equity,7.64995,US67066G1040
NXPI,NXP SEMICONDUCTORS NV,Information Technology,Equity,0.30898,NL0009538784
ODFL,OLD DOMINION FREIGHT LINE INC,Industrials,Equity,0.19879,US6795801009
ORLY,OREILLY AUTOMOTIVE INC,Consumer Discretionary,Equity,0.31822,US67103H1077
PANW,PALO ALTO NETWORKS INC,Information Technology,Equity,1.21877,US6974351057
PAYX,PAYCHEX INC,Industrials,Equity,0.17087,US7043261079
PCAR,PACCAR INC,Industrials,Equity,0.28779,US6937181088
PDD,PDD HOLDINGS ADS INC,Consumer Discretionary,Equity,0.24644,US7223041028
PEP,PEPSICO INC,Consumer Staples,Equity,0.87813,US7134481081
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,Equity,1.36722,US69608A1088
PYPL,PAYPAL HOLDINGS INC,Financials,Equity,0.17651,US70450Y1038
QCOM,QUALCOMM INC,Information Technology,Equity,0.85462,US7475251036
REGN,REGENERON PHARMACEUTICALS INC,Health Care,Equity,0.3087,US75886F1075
RKLB,ROCKET LAB CORP,Industrials,Equity,0.21347,US7731211089
ROP,ROPER TECHNOLOGIES INC,Information Technology,Equity,0.16044,US7766961061
ROST,ROSS STORES INC,Consumer Discretionary,Equity,0.30646,US7782961038
SBUX,STARBUCKS CORP,Consumer Discretionary,Equity,0.5233,US8552441094
SHOP,SHOPIFY SUBORDINATE VOTING INC CLA,Information Technology,Equity,0.65871,CA82509L1076
SNDK,SANDISK CORP,Information Technology,Equity,1.06157,US80004C2008
SNPS,SYNOPSYS INC,Information Technology,Equity,0.37045,US8716071076
SPCX,SPACE EXPLORATION TECHNOLOGIES COR,Communication,Equity,1.26956,US84615Q1031
STX,SEAGATE TECHNOLOGY HOLDINGS PLC,Information Technology,Equity,0.8224,IE00BKVD2N49
TER,TERADYNE INC,Information Technology,Equity,0.2375,US8807701029
TMUS,T MOBILE US INC,Communication,Equity,0.88593,US8725901040
TRI,THOMSON REUTERS CORP,Industrials,Equity,0.156,CA8849038812
TSLA,TESLA INC,Consumer Discretionary,Equity,3.23078,US88160R1014
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,Equity,0.21084,US8740541094
TXN,TEXAS INSTRUMENT INC,Information Technology,Equity,1.18289,US8825081040
USD,USD CASH,Cash and/or Derivatives,Cash,0.13475,-
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,Equity,0.58738,US92532F1003
WBD,WARNER BROS. DISCOVERY INC SERIES,Communication,Equity,0.29021,US9344231041
WDAY,WORKDAY INC CLASS A,Information Technology,Equity,0.13018,US98138H1014
WDC,WESTERN DIGITAL CORP,Information Technology,Equity,0.81274,US9581021055
WMT,WALMART INC,Consumer Staples,Equity,2.41123,US9311421039
XEL,XCEL ENERGY INC,Utilities,Equity,0.22104,US98389B1008
