ticker,name,sector,asset_class,weight,isin
AAPL,APPLE INC,Information Technology,Equity,7.85344,US0378331005
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,0.27355,US0090661010
ADBE,ADOBE INC,Information Technology,Equity,0.42886,US00724F1012
ADI,ANALOG DEVICES INC,Information Technology,Equity,0.82001,US0326541051
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,0.46115,US0530151036
ADSK,AUTODESK INC,Information Technology,Equity,0.20839,US0527691069
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,0.32229,US0255371017
ALAB,ASTERA LABS INC,Information Technology,Equity,0.23947,US04626A1034
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,Equity,0.16519,US02043Q1076
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,1.88657,US0382221051
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,3.71139,US0079031078
AMGN,AMGEN INC,Health Care,Equity,0.88838,US0311621009
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,4.40284,US0231351067
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,0.58676,US03831W1080
ARM,ARM HOLDINGS AMERICAN DEPOSITARY S,Information Technology,Equity,0.51671,US0420682058
ASML,ASML HOLDING ADR REPRESENTING NV,Information Technology,Equity,0.72032,USN070592100
AVGO,BROADCOM INC,Information Technology,Equity,2.93553,US11135F1012
AXON,AXON ENTERPRISE INC,Industrials,Equity,0.19218,US05464C1018
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,0.6285,US09857L1089
BKR,BAKER HUGHES CLASS A,Energy,Equity,0.24889,US05722G1004
CAD,CAD CASH,Cash and/or Derivatives,Cash,0.0,-
CCEP,COCA COLA EUROPACIFIC PARTNERS PLC,Consumer Staples,Equity,0.21253,GB00BDCPN049
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,0.4113,US1273871087
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,0.41386,US21037T1097
CMCSA,COMCAST CORP CLASS A,Communication,Equity,0.38293,US20030N1019
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,1.87656,US22160K1051
CPRT,COPART INC,Industrials,Equity,0.11666,US2172041061
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,0.91362,US22788C1053
CRWV,COREWEAVE INC CLASS A,Information Technology,Equity,0.1458,US21873S1087
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,1.97211,US17275R1023
CSX,CSX CORP,Industrials,Equity,0.41975,US1264081035
CTAS,CINTAS CORP,Industrials,Equity,0.36492,US1729081059
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,0.35143,US25809K1051
DDOG,DATADOG INC CLASS A,Information Technology,Equity,0.39356,US23804L1035
DXCM,DEXCOM INC,Health Care,Equity,0.13204,US2521311074
EA,ELECTRONIC ARTS INC,Communication,Equity,0.23822,US2855121099
EUR,EUR CASH,Cash and/or Derivatives,Cash,0.00062,-
EXC,EXELON CORP,Utilities,Equity,0.21383,US30161N1019
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,0.24843,US25278X1090
FAST,FASTENAL,Industrials,Equity,0.23366,US3119001044
FER,FERROVIAL NV,Industrials,Equity,0.20682,NL0015001FS8
FTNT,FORTINET INC,Information Technology,Equity,0.53103,US34959E1091
GBP,GBP CASH,Cash and/or Derivatives,Cash,0.00224,-
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,Equity,0.12686,US36266G1076
