ticker,name,sector,asset_class,weight,isin
AAPL,APPLE INC,Information Technology,Equity,7.73243,US0378331005
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,0.26684,US0090661010
ADBE,ADOBE INC,Information Technology,Equity,0.40718,US00724F1012
ADI,ANALOG DEVICES INC,Information Technology,Equity,0.8269,US0326541051
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,0.43646,US0530151036
ADSK,AUTODESK INC,Information Technology,Equity,0.19822,US0527691069
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,0.31483,US0255371017
ALAB,ASTERA LABS INC,Information Technology,Equity,0.24308,US04626A1034
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,Equity,0.1613,US02043Q1076
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,1.98777,US0382221051
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,3.93684,US0079031078
AMGN,AMGEN INC,Health Care,Equity,0.87658,US0311621009
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,4.27762,US0231351067
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,0.58123,US03831W1080
ARM,ARM HOLDINGS AMERICAN DEPOSITARY S,Information Technology,Equity,0.54479,US0420682058
ASML,ASML HOLDING ADR REPRESENTING NV,Information Technology,Equity,0.73213,USN070592100
AVGO,BROADCOM INC,Information Technology,Equity,2.94368,US11135F1012
AXON,AXON ENTERPRISE INC,Industrials,Equity,0.18272,US05464C1018
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,0.61647,US09857L1089
BKR,BAKER HUGHES CLASS A,Energy,Equity,0.24964,US05722G1004
CAD,CAD CASH,Cash and/or Derivatives,Cash,0.0,-
CCEP,COCA COLA EUROPACIFIC PARTNERS PLC,Consumer Staples,Equity,0.20665,GB00BDCPN049
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,0.42153,US1273871087
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,0.42002,US21037T1097
CMCSA,COMCAST CORP CLASS A,Communication,Equity,0.37618,US20030N1019
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,1.82821,US22160K1051
CPRT,COPART INC,Industrials,Equity,0.11313,US2172041061
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,0.86324,US22788C1053
CRWV,COREWEAVE INC CLASS A,Information Technology,Equity,0.15581,US21873S1087
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,1.96078,US17275R1023
CSX,CSX CORP,Industrials,Equity,0.41003,US1264081035
CTAS,CINTAS CORP,Industrials,Equity,0.35557,US1729081059
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,0.34301,US25809K1051
DDOG,DATADOG INC CLASS A,Information Technology,Equity,0.3738,US23804L1035
DXCM,DEXCOM INC,Health Care,Equity,0.12794,US2521311074
EA,ELECTRONIC ARTS INC,Communication,Equity,0.23345,US2855121099
EUR,EUR CASH,Cash and/or Derivatives,Cash,0.00061,-
EXC,EXELON CORP,Utilities,Equity,0.20948,US30161N1019
