ticker,name,sector,asset_class,weight,isin
AAPL,APPLE INC,Information Technology,Equity,7.24118,US0378331005
ABNB,AIRBNB INC CLASS A,Consumer Discretionary,Equity,0.2684,US0090661010
ADBE,ADOBE INC,Information Technology,Equity,0.38371,US00724F1012
ADI,ANALOG DEVICES INC,Information Technology,Equity,0.82447,US0326541051
ADP,AUTOMATIC DATA PROCESSING INC,Industrials,Equity,0.41675,US0530151036
ADSK,AUTODESK INC,Information Technology,Equity,0.19126,US0527691069
AEP,AMERICAN ELECTRIC POWER INC,Utilities,Equity,0.32209,US0255371017
ALAB,ASTERA LABS INC,Information Technology,Equity,0.3229,US04626A1034
ALNY,ALNYLAM PHARMACEUTICALS INC,Health Care,Equity,0.18266,US02043Q1076
AMAT,APPLIED MATERIAL INC,Information Technology,Equity,2.04883,US0382221051
AMD,ADVANCED MICRO DEVICES INC,Information Technology,Equity,3.91866,US0079031078
AMGN,AMGEN INC,Health Care,Equity,0.86094,US0311621009
AMZN,AMAZON.COM INC,Consumer Discretionary,Equity,4.14155,US0231351067
APP,APPLOVIN CORP CLASS A,Information Technology,Equity,0.72374,US03831W1080
ARM,ARM HOLDINGS AMERICAN DEPOSITARY S,Information Technology,Equity,0.59479,US0420682058
ASML,ASML HOLDING ADR REPRESENTING NV,Information Technology,Equity,0.728,USN070592100
AVGO,BROADCOM INC,Information Technology,Equity,2.79539,US11135F1012
AXON,AXON ENTERPRISE INC,Industrials,Equity,0.21837,US05464C1018
BKNG,BOOKING HOLDINGS INC,Consumer Discretionary,Equity,0.61065,US09857L1089
BKR,BAKER HUGHES CLASS A,Energy,Equity,0.23146,US05722G1004
CAD,CAD CASH,Cash and/or Derivatives,Cash,0.0,-
CCEP,COCA COLA EUROPACIFIC PARTNERS PLC,Consumer Staples,Equity,0.20629,GB00BDCPN049
CDNS,CADENCE DESIGN SYSTEMS INC,Information Technology,Equity,0.45119,US1273871087
CEG,CONSTELLATION ENERGY CORP,Utilities,Equity,0.38659,US21037T1097
CMCSA,COMCAST CORP CLASS A,Communication,Equity,0.36262,US20030N1019
COST,COSTCO WHOLESALE CORP,Consumer Staples,Equity,1.83521,US22160K1051
CPRT,COPART INC,Industrials,Equity,0.11952,US2172041061
CRWD,CROWDSTRIKE HOLDINGS INC CLASS A,Information Technology,Equity,0.88386,US22788C1053
CRWV,COREWEAVE INC CLASS A,Information Technology,Equity,0.16617,US21873S1087
CSCO,CISCO SYSTEMS INC,Information Technology,Equity,1.95567,US17275R1023
CSX,CSX CORP,Industrials,Equity,0.3938,US1264081035
CTAS,CINTAS CORP,Industrials,Equity,0.31044,US1729081059
DASH,DOORDASH INC CLASS A,Consumer Discretionary,Equity,0.33747,US25809K1051
DDOG,DATADOG INC CLASS A,Information Technology,Equity,0.36778,US23804L1035
DXCM,DEXCOM INC,Health Care,Equity,0.12161,US2521311074
EA,ELECTRONIC ARTS INC,Communication,Equity,0.22496,US2855121099
EUR,EUR CASH,Cash and/or Derivatives,Cash,0.00104,-
EXC,EXELON CORP,Utilities,Equity,0.21084,US30161N1019
FANG,DIAMONDBACK ENERGY INC,Energy,Equity,0.21275,US25278X1090
FAST,FASTENAL,Industrials,Equity,0.24291,US3119001044
FER,FERROVIAL NV,Industrials,Equity,0.21417,NL0015001FS8
FTNT,FORTINET INC,Information Technology,Equity,0.5178,US34959E1091
GBP,GBP CASH,Cash and/or Derivatives,Cash,0.00204,-
GEHC,GE HEALTHCARE TECHNOLOGIES INC,Health Care,Equity,0.1261,US36266G1076
GILD,GILEAD SCIENCES INC,Health Care,Equity,0.70053,US3755581036
GOOG,ALPHABET INC CLASS C,Communication,Equity,3.13936,US02079K1079
GOOGL,ALPHABET INC CLASS A,Communication,Equity,3.36543,US02079K3059
HON,HONEYWELL INTERNATIONAL INC,Industrials,Equity,0.32171,US4385162056
HONA,HONEYWELL AEROSPACE INC,Industrials,Equity,0.33078,US43849R1059
